Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2016,08,001,4,8,Adams County                  ,1997,1997,571283907,0,0,0,16,64,8988408,23,596,83721834,1997,1997,571283907,0,0,0,16,64,8988408,23,596,83721834
2016,08,003,4,8,Alamosa County                ,17,17,1619268,0,0,0,0,0,0,4,58,2996636,17,17,1619268,0,0,0,0,0,0,4,58,2996636
2016,08,005,4,8,Arapahoe County               ,2016,2016,512287361,4,8,1214270,0,0,0,60,2636,336156203,2013,2013,511979365,4,8,1214270,0,0,0,60,2636,336156203
2016,08,007,4,8,Archuleta County              ,129,129,29611986,1,2,216000,0,0,0,0,0,0,129,129,29611986,1,2,216000,0,0,0,0,0,0
2016,08,009,4,8,Baca County                   ,1,1,209000,0,0,0,0,0,0,0,0,0,1,1,209000,0,0,0,0,0,0,0,0,0
2016,08,011,4,8,Bent County                   ,3,3,1312395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,013,4,8,Boulder County                ,716,716,245874067,14,28,4601022,5,18,2088322,62,1087,128085681,646,646,233449945,0,0,0,1,3,330000,56,1056,123498256
2016,08,014,4,8,Broomfield County             ,523,523,174784374,5,10,2005953,2,8,1075814,1,5,673523,523,523,174784374,5,10,2005953,2,8,1075814,1,5,673523
2016,08,015,4,8,Chaffee County                ,115,115,30462152,4,8,1295848,1,3,549700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,017,4,8,Cheyenne County               ,1,1,75000,1,2,150000,0,0,0,0,0,0,1,1,75000,1,2,150000,0,0,0,0,0,0
2016,08,019,4,8,Clear Creek County            ,12,12,3945644,0,0,0,0,0,0,0,0,0,12,12,3945644,0,0,0,0,0,0,0,0,0
2016,08,021,4,8,Conejos County                ,20,20,3870900,0,0,0,0,0,0,0,0,0,20,20,3870900,0,0,0,0,0,0,0,0,0
2016,08,023,4,8,Costilla County               ,44,44,10044945,0,0,0,0,0,0,0,0,0,1,1,287713,0,0,0,0,0,0,0,0,0
2016,08,025,4,8,Crowley County                ,4,4,515000,0,0,0,0,0,0,0,0,0,4,4,515000,0,0,0,0,0,0,0,0,0
2016,08,027,4,8,Custer County                 ,57,57,15357658,0,0,0,0,0,0,0,0,0,57,57,15357658,0,0,0,0,0,0,0,0,0
2016,08,029,4,8,Delta County                  ,15,15,2321205,0,0,0,0,0,0,0,0,0,15,15,2321205,0,0,0,0,0,0,0,0,0
2016,08,031,4,8,Denver County                 ,1887,1887,429730054,185,370,80173410,1,4,757100,73,5581,749425366,1887,1887,429730054,185,370,80173410,1,4,757100,73,5581,749425366
2016,08,033,4,8,Dolores County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,035,4,8,Douglas County                ,2014,2014,623361928,0,0,0,3,9,1556706,66,1309,130239646,1946,1946,596716491,0,0,0,0,0,0,66,1309,130239646
2016,08,037,4,8,Eagle County                  ,190,190,140797881,7,14,2172288,3,9,1771132,2,133,15761864,185,185,136422881,7,14,2172288,3,9,1771132,2,133,15761864
2016,08,039,4,8,Elbert County                 ,120,120,29688059,0,0,0,0,0,0,0,0,0,119,119,29527629,0,0,0,0,0,0,0,0,0
2016,08,041,4,8,El Paso County                ,3526,3526,1433173996,4,8,832439,0,0,0,48,1500,223336916,3526,3526,1433173996,4,8,832439,0,0,0,48,1500,223336916
2016,08,043,4,8,Fremont County                ,85,85,18452026,0,0,0,0,0,0,0,0,0,85,85,18452026,0,0,0,0,0,0,0,0,0
2016,08,045,4,8,Garfield County               ,139,139,36439314,4,8,1257496,3,9,1179048,0,0,0,139,139,36439314,4,8,1257496,3,9,1179048,0,0,0
2016,08,047,4,8,Gilpin County                 ,31,31,12798532,0,0,0,0,0,0,0,0,0,31,31,12798532,0,0,0,0,0,0,0,0,0
2016,08,049,4,8,Grand County                  ,148,148,51792508,0,0,0,0,0,0,1,13,1933232,78,78,28084818,0,0,0,0,0,0,0,0,0
2016,08,051,4,8,Gunnison County               ,103,103,28966318,0,0,0,0,0,0,0,0,0,100,100,27653818,0,0,0,0,0,0,0,0,0
2016,08,053,4,8,Hinsdale County               ,7,7,1703055,0,0,0,0,0,0,0,0,0,7,7,1703055,0,0,0,0,0,0,0,0,0
2016,08,055,4,8,Huerfano County               ,31,31,5661992,0,0,0,0,0,0,0,0,0,31,31,5661992,0,0,0,0,0,0,0,0,0
2016,08,057,4,8,Jackson County                ,7,7,1221650,0,0,0,0,0,0,0,0,0,2,2,35400,0,0,0,0,0,0,0,0,0
2016,08,059,4,8,Jefferson County              ,1510,1510,432958878,2,4,938190,3,9,756300,29,1087,134485075,1510,1510,432958878,2,4,938190,3,9,756300,29,1087,134485075
2016,08,061,4,8,Kiowa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,063,4,8,Kit Carson County             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,065,4,8,Lake County                   ,32,32,6640145,0,0,0,0,0,0,0,0,0,12,12,2600536,0,0,0,0,0,0,0,0,0
