Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2021,08,001,4,8,Adams County                  ,2823,2823,801397950,170,340,55729347,4,15,4933739,47,1509,250704972,2823,2823,801397950,170,340,55729347,4,15,4933739,47,1509,250704972
2021,08,003,4,8,Alamosa County                ,64,64,12984500,0,0,0,1,4,949368,4,41,7050000,64,64,12984500,0,0,0,1,4,949368,4,41,7050000
2021,08,005,4,8,Arapahoe County               ,3028,3028,854849716,0,0,0,9,36,5549896,73,2455,333388159,2953,2953,841443196,0,0,0,9,36,5549896,73,2455,333388159
2021,08,007,4,8,Archuleta County              ,193,193,47643487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,08,009,4,8,Baca County                   ,3,3,260800,0,0,0,0,0,0,0,0,0,3,3,260800,0,0,0,0,0,0,0,0,0
2021,08,011,4,8,Bent County                   ,8,8,916880,0,0,0,0,0,0,0,0,0,2,2,247365,0,0,0,0,0,0,0,0,0
2021,08,013,4,8,Boulder County                ,343,343,202411299,31,62,19340136,18,60,15989271,29,772,163447471,342,342,202341299,31,62,19340136,18,60,15989271,29,772,163447471
2021,08,014,4,8,Broomfield County             ,268,268,117647896,54,108,29422319,9,31,7034006,17,94,22893253,268,268,117647896,54,108,29422319,9,31,7034006,17,94,22893253
2021,08,015,4,8,Chaffee County                ,347,347,89959360,1,2,271539,0,0,0,0,0,0,347,347,89959360,1,2,271539,0,0,0,0,0,0
2021,08,017,4,8,Cheyenne County               ,12,12,1624511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,08,019,4,8,Clear Creek County            ,21,21,8496451,0,0,0,0,0,0,9,76,9183333,21,21,8496451,0,0,0,0,0,0,9,76,9183333
2021,08,021,4,8,Conejos County                ,45,45,13838427,0,0,0,0,0,0,0,0,0,45,45,13838427,0,0,0,0,0,0,0,0,0
2021,08,023,4,8,Costilla County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,08,025,4,8,Crowley County                ,3,3,708000,0,0,0,0,0,0,1,11,825000,3,3,708000,0,0,0,0,0,0,0,0,0
2021,08,027,4,8,Custer County                 ,144,144,42549376,1,2,600000,0,0,0,0,0,0,144,144,42549376,1,2,600000,0,0,0,0,0,0
