Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2020,08,001000,001,    ,99990 ,00000 ,88292 ,216,19740, , ,80601      ,4,8,12,Adams County Unincorporated Area,226,226,55525140,4,8,1100000,0,0,0,6,130,12593644,226,226,55525140,4,8,1100000,0,0,0,6,130,12593644
2020,08,003000,071,0005,00760 ,00000 ,538 ,999,99999, , ,81020      ,4,8,12,Aguilar town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,005000,121,0010,00925 ,00000 ,1702 ,999,99999, , ,80720      ,4,8,12,Akron town,1,1,230000,0,0,0,0,0,0,0,0,0,1,1,230000,0,0,0,0,0,0,0,0,0
2020,08,007000,003,0015,01090 ,00000 ,8780 ,999,99999, , ,81101      ,4,8,12,Alamosa,28,28,4981250,3,6,756048,0,0,0,0,0,0,28,28,4981250,3,6,756048,0,0,0,0,0,0
2020,08,009000,003,    ,99990 ,00000 ,6562 ,999,99999, , ,81101      ,4,8,0,Alamosa County Unincorporated Area,28,28,5610883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,011000,093,0020,01530 ,00000 ,270 ,216,19740, , ,80420      ,4,8,4,Alma town,1,1,277683,0,0,0,0,0,0,0,0,0,1,1,277683,0,0,0,0,0,0,0,0,0
2020,08,013000,021,0025,02355 ,00000 ,781 ,999,99999, , ,81120      ,4,8,0,Antonito town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,015000,005,    ,99990 ,00000 ,83764 ,216,19740, , ,80112      ,4,8,10,Arapahoe County Unincorporated Area,618,618,160536121,0,0,0,0,0,0,12,299,41566598,552,552,141303030,0,0,0,0,0,0,10,267,37399888
2020,08,017000,007,    ,99990 ,00000 ,10357 ,999,99999, , ,81147      ,4,8,12,Archuleta County Unincorporated Area,126,126,32039000,0,0,0,0,0,0,0,0,0,126,126,32039000,0,0,0,0,0,0,0,0,0
2020,08,023000,059,0040,03455 ,00000 ,103584 ,216,19740,2, ,80002      ,4,8,12,Arvada,295,295,81936720,0,0,0,0,0,0,0,0,0,295,295,81936720,0,0,0,0,0,0,0,0,0
2020,08,025000,097,0045,03620 ,00000 ,6658 ,999,99999, , ,81611      ,4,8,0,Aspen,8,8,34831336,0,0,0,0,0,0,1,12,4294282,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,027000,123,0050,03950 ,00000 ,1519 ,216,24540, , ,80610      ,4,8,12,Ault town,29,29,4772811,0,0,0,5,18,4951710,2,10,1562983,29,29,4772811,0,0,0,5,18,4951710,2,10,1562983
2020,08,031000,005,0055,04000 ,00000 ,285090 ,216,19740,2,1,800121553  ,4,8,12,Aurora,2063,2063,523107667,0,0,0,2,6,1257375,19,656,67347893,2063,2063,523107667,0,0,0,2,6,1257375,19,656,67347893
2020,08,035000,037,0057,04110 ,00000 ,6447 ,999,99999, , ,816200975  ,4,8,12,Avon town,7,7,6405000,0,0,0,1,4,2697595,0,0,0,7,7,6405000,0,0,0,1,4,2697595,0,0,0
2020,08,039000,037,0060,04935 ,00000 ,2926 ,999,99999,2, ,81621      ,4,8,0,Basalt town,8,8,2877545,1,2,301442,0,0,0,1,15,5571428,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,043000,067,0065,05265 ,00000 ,2333 ,999,99999, , ,81122      ,4,8,12,Bayfield town,14,14,2730000,0,0,0,0,0,0,0,0,0,14,14,2730000,0,0,0,0,0,0,0,0,0
2020,08,045000,001,0075,06090 ,00000 ,1955 ,216,19740,2, ,801027806  ,4,8,12,Bennett town,127,127,34865780,1,2,653994,2,8,1328168,0,0,0,127,127,34865780,1,2,653994,2,8,1328168,0,0,0
2020,08,047000,011,    ,99990 ,00000 ,4089 ,999,99999, , ,81054      ,4,8,12,Bent County Unincorporated Area,5,5,557929,0,0,0,0,0,0,0,0,0,5,5,557929,0,0,0,0,0,0,0,0,0
2020,08,049000,069,0080,06255 ,00000 ,5042 ,999,22660,2, ,80513      ,4,8,12,Berthoud town,505,505,140996960,0,0,0,0,0,0,0,0,0,505,505,140996960,0,0,0,0,0,0,0,0,0
2020,08,051000,063,0085,06530 ,00000 ,237 ,999,99999, , ,80805      ,4,8,12,Bethune town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,053000,047,0090,07025 ,00000 ,118 ,216,19740, , ,80422      ,4,8,12,Black Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,055000,023,0095,07190 ,00000 ,385 ,999,99999, , ,81123      ,4,8,12,Blanca town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,057000,117,0097,07410 ,00000 ,849 ,999,99999, , ,80424      ,4,8,12,Blue River town,3,3,1308680,0,0,0,0,0,0,0,0,0,3,3,1308680,0,0,0,0,0,0,0,0,0
2020,08,063000,013,0110,07850 ,00000 ,97385 ,216,14500, ,1,803060791  ,4,8,6,Boulder,40,40,34079580,4,8,1348740,5,17,3983451,15,251,49151202,15,15,9875456,4,8,1348740,5,17,3983451,7,121,21667418
2020,08,065000,013,    ,99990 ,00000 ,43380 ,216,14500,2, ,80306      ,4,8,12,Boulder County Unincorporated Area,66,66,51001711,0,0,0,0,0,0,0,0,0,66,66,51001711,0,0,0,0,0,0,0,0,0
2020,08,067000,005,0115,08070 ,00000 ,589 ,216,19740,2, ,801231586  ,4,8,12,Bow Mar town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,073000,117,0125,08400 ,00000 ,4540 ,999,99999, , ,80424      ,4,8,12,Breckenridge town,21,21,28293048,0,0,0,0,0,0,1,14,1192950,21,21,28293048,0,0,0,0,0,0,1,14,1192950
2020,08,075000,001,0130,08675 ,00000 ,33009 ,216,19740,2, ,80601      ,4,8,12,Brighton,647,647,140078957,0,0,0,0,0,0,3,180,13639182,647,647,140078957,0,0,0,0,0,0,3,180,13639182
2020,08,079000,043,0140,09115 ,00000 ,233 ,999,99999, , ,81212      ,4,8,12,Brookside town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
