Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2023,08,001000,001,    ,99990 ,00000 ,97489 ,216,19740, , ,80601      ,4,8,12,Adams County Unincorporated Area,202,202,60089789,0,0,0,0,0,0,0,0,0,202,202,60089789,0,0,0,0,0,0,0,0,0
2023,08,003000,071,0005,00760 ,00000 ,479 ,999,99999, , ,81020      ,4,8,12,Aguilar town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,08,005000,121,0010,00925 ,00000 ,1682 ,999,99999, , ,80720      ,4,8,12,Akron town,2,2,1048810,0,0,0,0,0,0,0,0,0,2,2,1048810,0,0,0,0,0,0,0,0,0
2023,08,007000,003,0015,01090 ,00000 ,9367 ,999,99999, , ,81101      ,4,8,12,Alamosa,29,29,5410357,3,6,899246,0,0,0,0,0,0,29,29,5410357,3,6,899246,0,0,0,0,0,0
2023,08,009000,003,    ,99990 ,00000 ,6709 ,999,99999, , ,81101      ,4,8,0,Alamosa County Unincorporated Area,32,32,5736007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,08,011000,093,0020,01530 ,00000 ,329 ,216,19740, , ,80420      ,4,8,12,Alma town,2,2,720000,0,0,0,0,0,0,0,0,0,2,2,720000,0,0,0,0,0,0,0,0,0
2023,08,013000,021,0025,02355 ,00000 ,752 ,999,99999, , ,81120      ,4,8,0,Antonito town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,08,015000,005,    ,99990 ,00000 ,94719 ,216,19740, , ,80112      ,4,8,9,Arapahoe County Unincorporated Area,523,523,155432338,0,0,0,4,16,3135886,25,574,89415158,451,451,135278808,0,0,0,4,16,3135886,22,550,86149325
2023,08,017000,007,    ,99990 ,00000 ,12064 ,999,99999, , ,81147      ,4,8,12,Archuleta County Unincorporated Area,99,99,30999000,0,0,0,0,0,0,0,0,0,99,99,30999000,0,0,0,0,0,0,0,0,0
