Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2020,08,001,4,8,Adams County                  ,2796,2796,709524600,37,74,9722209,4,14,2967022,26,1143,150872225,2796,2796,709524600,37,74,9722209,4,14,2967022,26,1143,150872225
2020,08,003,4,8,Alamosa County                ,56,56,10592133,3,6,756048,0,0,0,0,0,0,28,28,4981250,3,6,756048,0,0,0,0,0,0
2020,08,005,4,8,Arapahoe County               ,2928,2928,840349509,2,4,1309654,2,6,1257375,35,1178,140470306,2839,2839,816748704,2,4,1309654,2,6,1257375,32,1141,135476435
2020,08,007,4,8,Archuleta County              ,151,151,37277096,1,2,460000,0,0,0,0,0,0,126,126,32039000,0,0,0,0,0,0,0,0,0
2020,08,009,4,8,Baca County                   ,2,2,427835,0,0,0,0,0,0,0,0,0,1,1,145000,0,0,0,0,0,0,0,0,0
2020,08,011,4,8,Bent County                   ,5,5,557929,0,0,0,0,0,0,0,0,0,5,5,557929,0,0,0,0,0,0,0,0,0
2020,08,013,4,8,Boulder County                ,573,573,234601976,23,46,9777628,15,52,12773971,38,963,148706568,514,514,202187288,22,44,9529728,15,52,12773971,27,812,118791110
2020,08,014,4,8,Broomfield County             ,223,223,90164332,49,98,22203554,1,3,600000,12,103,15755230,223,223,90164332,49,98,22203554,1,3,600000,12,103,15755230
2020,08,015,4,8,Chaffee County                ,155,155,39693352,2,4,647924,9,27,4947300,0,0,0,11,11,2408693,0,0,0,0,0,0,0,0,0
2020,08,017,4,8,Cheyenne County               ,6,6,912034,0,0,0,0,0,0,0,0,0,1,1,320000,0,0,0,0,0,0,0,0,0
2020,08,019,4,8,Clear Creek County            ,22,22,6235644,0,0,0,0,0,0,3,72,8700000,8,8,2241570,0,0,0,0,0,0,3,72,8700000
2020,08,021,4,8,Conejos County                ,36,36,10242350,0,0,0,0,0,0,0,0,0,36,36,10242350,0,0,0,0,0,0,0,0,0
2020,08,023,4,8,Costilla County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,08,025,4,8,Crowley County                ,4,4,806149,0,0,0,0,0,0,1,8,600000,4,4,806149,0,0,0,0,0,0,1,8,600000
2020,08,027,4,8,Custer County                 ,118,118,32903126,0,0,0,0,0,0,0,0,0,110,110,30959126,0,0,0,0,0,0,0,0,0
