Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2025,08,001,4,8,Adams County                  ,1884,1884,627759180,66,132,24854901,1,4,1151872,50,588,88049196,1853,1853,618150176,66,132,24854901,1,4,1151872,50,588,88049196
2025,08,003,4,8,Alamosa County                ,42,42,8098689,7,14,2145168,0,0,0,0,0,0,14,14,3086439,7,14,2145168,0,0,0,0,0,0
2025,08,005,4,8,Arapahoe County               ,1735,1735,496924933,1,2,500000,9,30,6375016,52,1832,304190533,1691,1691,483433153,1,2,500000,8,27,5937191,49,1817,302689767
2025,08,007,4,8,Archuleta County              ,124,124,41753983,0,0,0,0,0,0,0,0,0,119,119,40881515,0,0,0,0,0,0,0,0,0
2025,08,009,4,8,Baca County                   ,2,2,535000,0,0,0,0,0,0,0,0,0,2,2,535000,0,0,0,0,0,0,0,0,0
2025,08,011,4,8,Bent County                   ,1,1,246300,0,0,0,0,0,0,0,0,0,1,1,246300,0,0,0,0,0,0,0,0,0
2025,08,013,4,8,Boulder County                ,428,428,240137872,12,24,6566327,4,15,3146097,39,1534,319735762,373,373,219420807,8,16,5073857,3,12,2068060,32,1283,272087316
2025,08,014,4,8,Broomfield County             ,76,76,39467943,0,0,0,4,14,3966208,8,880,183575387,76,76,39467943,0,0,0,4,14,3966208,8,880,183575387
2025,08,015,4,8,Chaffee County                ,167,167,69630271,1,2,222256,2,6,1159073,0,0,0,167,167,69630271,1,2,222256,2,6,1159073,0,0,0
2025,08,017,4,8,Cheyenne County               ,4,4,1928988,0,0,0,0,0,0,0,0,0,2,2,1096519,0,0,0,0,0,0,0,0,0
2025,08,019,4,8,Clear Creek County            ,21,21,12337364,0,0,0,0,0,0,0,0,0,16,16,10327369,0,0,0,0,0,0,0,0,0
2025,08,021,4,8,Conejos County                ,20,20,8000475,0,0,0,0,0,0,0,0,0,20,20,8000475,0,0,0,0,0,0,0,0,0
2025,08,023,4,8,Costilla County               ,114,114,33803130,0,0,0,0,0,0,0,0,0,114,114,33803130,0,0,0,0,0,0,0,0,0
2025,08,025,4,8,Crowley County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,08,027,4,8,Custer County                 ,78,78,22862870,0,0,0,0,0,0,0,0,0,78,78,22862870,0,0,0,0,0,0,0,0,0
2025,08,029,4,8,Delta County                  ,56,56,12525730,1,2,435000,0,0,0,0,0,0,29,29,7877919,1,2,435000,0,0,0,0,0,0
2025,08,031,4,8,Denver County                 ,1027,1027,332552732,0,0,0,4,12,1567792,54,3688,701977846,967,967,313974864,0,0,0,4,12,1567792,46,3124,608258024
2025,08,033,4,8,Dolores County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,08,035,4,8,Douglas County                ,1465,1465,649346930,3,6,645466,12,46,8333865,27,881,178580724,1465,1465,649346930,3,6,645466,12,46,8333865,27,881,178580724
2025,08,037,4,8,Eagle County                  ,163,163,151066521,3,6,1137306,2,7,1558638,7,47,11058402,142,142,123954540,2,4,753179,1,3,700000,4,32,5486973
2025,08,039,4,8,Elbert County                 ,285,285,139826565,0,0,0,0,0,0,2,48,5340000,285,285,139826565,0,0,0,0,0,0,2,48,5340000
2025,08,041,4,8,El Paso County                ,2721,2721,1473836656,91,182,32709756,0,0,0,65,2804,558512846,2721,2721,1473836656,91,182,32709756,0,0,0,65,2804,558512846
2025,08,043,4,8,Fremont County                ,105,105,26312385,1,2,346230,0,0,0,0,0,0,105,105,26312385,1,2,346230,0,0,0,0,0,0
2025,08,045,4,8,Garfield County               ,201,201,76803871,0,0,0,1,4,1119100,4,89,19756846,201,201,76803871,0,0,0,1,4,1119100,4,89,19756846
