Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2019,08,001,4,8,Adams County                  ,2273,2273,631231538,6,12,1030631,3,11,1827879,13,370,64079961,2273,2273,631231538,6,12,1030631,3,11,1827879,13,370,64079961
2019,08,003,4,8,Alamosa County                ,42,42,8585371,5,10,2192955,0,0,0,0,0,0,42,42,8585371,5,10,2192955,0,0,0,0,0,0
2019,08,005,4,8,Arapahoe County               ,2386,2386,685503668,3,6,839137,13,41,7538735,19,1099,175170825,2373,2373,683341341,2,4,591804,9,29,6142528,19,1099,175170825
2019,08,007,4,8,Archuleta County              ,162,162,36410000,3,6,1380000,0,0,0,0,0,0,162,162,36410000,3,6,1380000,0,0,0,0,0,0
2019,08,009,4,8,Baca County                   ,4,4,624371,0,0,0,0,0,0,0,0,0,4,4,624371,0,0,0,0,0,0,0,0,0
2019,08,011,4,8,Bent County                   ,1,1,7000,0,0,0,0,0,0,0,0,0,1,1,7000,0,0,0,0,0,0,0,0,0
2019,08,013,4,8,Boulder County                ,742,742,282249526,1,2,247900,0,0,0,43,906,137637163,742,742,282249526,1,2,247900,0,0,0,43,906,137637163
2019,08,014,4,8,Broomfield County             ,333,333,118197893,2,4,955282,0,0,0,1,6,1210636,333,333,118197893,2,4,955282,0,0,0,1,6,1210636
2019,08,015,4,8,Chaffee County                ,143,143,36895077,3,6,971886,5,15,2748500,0,0,0,143,143,36895077,3,6,971886,5,15,2748500,0,0,0
2019,08,017,4,8,Cheyenne County               ,12,12,1561510,1,2,150000,0,0,0,0,0,0,6,6,847000,1,2,150000,0,0,0,0,0,0
2019,08,019,4,8,Clear Creek County            ,20,20,5782236,0,0,0,0,0,0,2,47,9500000,20,20,5782236,0,0,0,0,0,0,2,47,9500000
2019,08,021,4,8,Conejos County                ,26,26,7220873,0,0,0,0,0,0,0,0,0,26,26,7220873,0,0,0,0,0,0,0,0,0
2019,08,023,4,8,Costilla County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,08,025,4,8,Crowley County                ,2,2,304750,0,0,0,0,0,0,0,0,0,1,1,86000,0,0,0,0,0,0,0,0,0
2019,08,027,4,8,Custer County                 ,88,88,24272759,0,0,0,0,0,0,0,0,0,88,88,24272759,0,0,0,0,0,0,0,0,0
2019,08,029,4,8,Delta County                  ,60,60,11790166,3,6,841449,0,0,0,0,0,0,60,60,11790166,3,6,841449,0,0,0,0,0,0
2019,08,031,4,8,Denver County                 ,2257,2257,619450228,0,0,0,2,7,1197560,51,5066,646993135,2257,2257,619450228,0,0,0,2,7,1197560,51,5066,646993135
2019,08,033,4,8,Dolores County                ,4,4,1100000,0,0,0,0,0,0,0,0,0,4,4,1100000,0,0,0,0,0,0,0,0,0
2019,08,035,4,8,Douglas County                ,2623,2623,801937194,14,28,4821482,12,41,6482384,30,467,50966762,2623,2623,801937194,14,28,4821482,12,41,6482384,30,467,50966762
2019,08,037,4,8,Eagle County                  ,156,156,92007911,19,38,12186596,19,67,8665076,14,369,96819248,147,147,88945059,18,36,11885154,19,67,8665076,13,354,91247820
2019,08,039,4,8,Elbert County                 ,196,196,59553676,0,0,0,0,0,0,0,0,0,196,196,59553676,0,0,0,0,0,0,0,0,0
