Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2016,08,001000,001,    ,99990 ,00000 ,88292 ,216,19740, , ,80601      ,4,8,12,Adams County Unincorporated Area,318,318,84770446,0,0,0,0,0,0,0,0,0,318,318,84770446,0,0,0,0,0,0,0,0,0
2016,08,003000,071,0005,00760 ,00000 ,538 ,999,99999, , ,81020      ,4,8,0,Aguilar town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,005000,121,0010,00925 ,00000 ,1702 ,999,99999, , ,80720      ,4,8,12,Akron town,1,1,223000,0,0,0,0,0,0,0,0,0,1,1,223000,0,0,0,0,0,0,0,0,0
2016,08,007000,003,0015,01090 ,00000 ,8780 ,999,99999, , ,81101      ,4,8,12,Alamosa,17,17,1619268,0,0,0,0,0,0,4,58,2996636,17,17,1619268,0,0,0,0,0,0,4,58,2996636
2016,08,009000,003,    ,99990 ,00000 ,6562 ,999,99999, , ,81101      ,4,8,12,Alamosa County Unincorporated Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,011000,093,0020,01530 ,00000 ,270 ,216,19740, , ,80420      ,4,8,1,Alma town,1,1,205346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,013000,021,0025,02355 ,00000 ,781 ,999,99999, , ,81120      ,4,8,0,Antonito town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,015000,005,    ,99990 ,00000 ,83764 ,216,19740, , ,80112      ,4,8,12,Arapahoe County Unincorporated Area,277,277,59404152,0,0,0,0,0,0,0,0,0,277,277,59404152,0,0,0,0,0,0,0,0,0
2016,08,017000,007,    ,99990 ,00000 ,10357 ,999,99999, , ,81147      ,4,8,12,Archuleta County Unincorporated Area,113,113,25492000,1,2,216000,0,0,0,0,0,0,113,113,25492000,1,2,216000,0,0,0,0,0,0
2016,08,023000,059,0040,03455 ,00000 ,103584 ,216,19740,2, ,80002      ,4,8,12,Arvada,856,856,232636001,0,0,0,0,0,0,0,0,0,856,856,232636001,0,0,0,0,0,0,0,0,0
2016,08,025000,097,0045,03620 ,00000 ,6658 ,999,99999, , ,81611      ,4,8,0,Aspen,16,16,66503080,3,6,3746490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,027000,123,0050,03950 ,00000 ,1519 ,216,24540, , ,80610      ,4,8,12,Ault town,22,22,4308913,0,0,0,0,0,0,0,0,0,22,22,4308913,0,0,0,0,0,0,0,0,0
2016,08,031000,005,0055,04000 ,00000 ,285090 ,216,19740,2,1,800121553  ,4,8,12,Aurora,1344,1344,323981450,0,0,0,0,0,0,39,1365,170353007,1344,1344,323981450,0,0,0,0,0,0,39,1365,170353007
2016,08,035000,037,0057,04110 ,00000 ,6447 ,999,99999, , ,816200975  ,4,8,12,Avon town,7,7,8551360,0,0,0,0,0,0,0,0,0,7,7,8551360,0,0,0,0,0,0,0,0,0
2016,08,039000,037,0060,04935 ,00000 ,2926 ,999,99999,2, ,81621      ,4,8,12,Basalt town,3,3,3320000,0,0,0,0,0,0,2,133,15761864,3,3,3320000,0,0,0,0,0,0,2,133,15761864
2016,08,043000,067,0065,05265 ,00000 ,2333 ,999,99999, , ,81122      ,4,8,12,Bayfield town,28,28,6168200,2,4,344000,0,0,0,0,0,0,28,28,6168200,2,4,344000,0,0,0,0,0,0
2016,08,045000,001,0075,06090 ,00000 ,1955 ,216,19740,2, ,801027806  ,4,8,12,Bennett town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,047000,011,    ,99990 ,00000 ,4089 ,999,99999, , ,81054      ,4,8,0,Bent County Unincorporated Area,3,3,1312395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,049000,069,0080,06255 ,00000 ,5042 ,999,22660,2, ,80513      ,4,8,12,Berthoud town,125,125,28162113,1,2,329258,1,4,511778,18,128,11880000,125,125,28162113,1,2,329258,1,4,511778,18,128,11880000
2016,08,051000,063,0085,06530 ,00000 ,237 ,999,99999, , ,80805      ,4,8,12,Bethune town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,053000,047,0090,07025 ,00000 ,118 ,216,19740, , ,80422      ,4,8,12,Black Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,055000,023,0095,07190 ,00000 ,385 ,999,99999, , ,81123      ,4,8,0,Blanca town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,057000,117,0097,07410 ,00000 ,849 ,999,99999, , ,80424      ,4,8,12,Blue River town,8,8,2945050,0,0,0,0,0,0,0,0,0,8,8,2945050,0,0,0,0,0,0,0,0,0
2016,08,063000,013,0110,07850 ,00000 ,97385 ,216,14500, ,1,803060791  ,4,8,12,Boulder,85,85,55758880,0,0,0,0,0,0,1,16,1516007,85,85,55758880,0,0,0,0,0,0,1,16,1516007
2016,08,065000,013,    ,99990 ,00000 ,43380 ,216,14500,2, ,80306      ,4,8,12,Boulder County Unincorporated Area,66,66,34381263,0,0,0,0,0,0,0,0,0,66,66,34381263,0,0,0,0,0,0,0,0,0
2016,08,067000,005,0115,08070 ,00000 ,589 ,216,19740,2, ,801231586  ,4,8,12,Bow Mar town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,073000,117,0125,08400 ,00000 ,4540 ,999,99999, , ,80424      ,4,8,12,Breckenridge town,23,23,39505525,0,0,0,0,0,0,0,0,0,23,23,39505525,0,0,0,0,0,0,0,0,0
2016,08,075000,001,0130,08675 ,00000 ,33009 ,216,19740,2, ,80601      ,4,8,12,Brighton,172,172,52828573,0,0,0,0,0,0,12,288,31168863,172,172,52828573,0,0,0,0,0,0,12,288,31168863
2016,08,079000,043,0140,09115 ,00000 ,233 ,999,99999, , ,81212      ,4,8,12,Brookside town,2,2,441600,0,0,0,0,0,0,0,0,0,2,2,441600,0,0,0,0,0,0,0,0,0
2016,08,083000,014,0143,09280 ,00000 ,55889 ,216,19740,2,1,80020      ,4,8,12,Broomfield,523,523,174784374,5,10,2005953,2,8,1075814,1,5,673523,523,523,174784374,5,10,2005953,2,8,1075814,1,5,673523
2016,08,089000,087,0150,09555 ,00000 ,5463 ,999,99999, , ,80723      ,4,8,0,Brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,093000,063,0160,10600 ,00000 ,4254 ,999,99999, , ,80807      ,4,8,12,Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,095000,041,0165,11260 ,00000 ,780 ,999,17820, , ,808088203  ,4,8,12,Calhan town,1,1,249286,0,0,0,0,0,0,0,0,0,1,1,249286,0,0,0,0,0,0,0,0,0
2016,08,099000,043,0610,11810 ,00000 ,16400 ,999,99999, , ,812151460  ,4,8,12,Canon City,21,21,4801935,0,0,0,0,0,0,0,0,0,21,21,4801935,0,0,0,0,0,0,0,0,0
2016,08,101000,045,0180,12045 ,00000 ,6427 ,999,99999, , ,81623      ,4,8,12,Carbondale town,29,29,9480021,0,0,0,0,0,0,0,0,0,29,29,9480021,0,0,0,0,0,0,0,0,0
2016,08,102900,035,0186,12387 ,00000 ,10360 ,216,19740, , ,80108      ,4,8,12,Castle Pines,2,2,1554095,0,0,0,0,0,0,0,0,0,2,2,1554095,0,0,0,0,0,0,0,0,0
2016,08,103000,035,0188,12415 ,00000 ,48231 ,216,19740, , ,80104      ,4,8,12,Castle Rock town,775,775,210694354,0,0,0,0,0,0,25,476,39062823,775,775,210694354,0,0,0,0,0,0,25,476,39062823
2016,08,105000,029,0190,12635 ,00000 ,2253 ,999,99999, , ,81413      ,4,8,12,Cedaredge town,2,2,458000,0,0,0,0,0,0,0,0,0,2,2,458000,0,0,0,0,0,0,0,0,0
2016,08,106000,005,0193,12815 ,00000 ,100377 ,216,19740, , ,80112      ,4,8,12,Centennial,50,50,14356350,0,0,0,0,0,0,10,533,78851117,50,50,14356350,0,0,0,0,0,0,10,533,78851117
2016,08,109000,109,0195,12855 ,00000 ,2012 ,999,99999,2, ,81125      ,4,8,12,Center town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,111000,047,0200,12910 ,00000 ,663 ,216,19740,2, ,80427      ,4,8,12,Central City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,113000,015,    ,00000 ,00000 ,9219 ,999,99999, , ,81201      ,4,8,0,Chaffee County,115,115,30462152,4,8,1295848,1,3,549700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,117000,005,0210,13845 ,00000 ,5987 ,216,19740, , ,80113      ,4,8,12,Cherry Hills Village,18,18,27568940,0,0,0,0,0,0,0,0,0,18,18,27568940,0,0,0,0,0,0,0,0,0
2016,08,119000,017,    ,99990 ,00000 ,757 ,999,99999, , ,808100567  ,4,8,11,Cheyenne County Unincorporated Area,1,1,75000,0,0,0,0,0,0,0,0,0,1,1,75000,0,0,0,0,0,0,0,0,0
2016,08,121000,017,0215,14175 ,00000 ,846 ,999,99999, , ,80810      ,4,8,12,Cheyenne Wells town,0,0,0,1,2,150000,0,0,0,0,0,0,0,0,0,1,2,150000,0,0,0,0,0,0
2016,08,123000,019,    ,99990 ,00000 ,5885 ,216,19740,2, ,80444      ,4,8,12,Clear Creek County Unincorporated Area,11,11,3672112,0,0,0,0,0,0,0,0,0,11,11,3672112,0,0,0,0,0,0,0,0,0
2016,08,125000,043,0225,15330 ,00000 ,343 ,999,99999, , ,81221      ,4,8,0,Coal Creek town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,133000,005,0244,16385 ,00000 ,1256 ,216,19740, , ,80123      ,4,8,12,Columbine Valley town,17,17,12916580,0,0,0,0,0,0,0,0,0,17,17,12916580,0,0,0,0,0,0,0,0,0
2016,08,135000,001,0245,16495 ,00000 ,45913 ,216,19740, , ,80022      ,4,8,12,Commerce City,442,442,114245479,0,0,0,1,4,408408,7,76,7982971,442,442,114245479,0,0,0,1,4,408408,7,76,7982971
2016,08,137000,021,    ,99990 ,00000 ,4383 ,999,99999, , ,81129      ,4,8,12,Conejos County Unincorporated Area,19,19,3800000,0,0,0,0,0,0,0,0,0,19,19,3800000,0,0,0,0,0,0,0,0,0
2016,08,139000,083,0250,17375 ,00000 ,8482 ,999,99999, , ,81321      ,4,8,12,Cortez,18,18,4744077,0,0,0,0,0,0,0,0,0,18,18,4744077,0,0,0,0,0,0,0,0,0
2016,08,141000,023,    ,99990 ,00000 ,2510 ,999,99999, , ,81152      ,4,8,0,Costilla County Unincorporated Area,43,43,9757232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,143000,081,0255,17760 ,00000 ,9464 ,999,99999, , ,81625      ,4,8,12,Craig,1,1,250000,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
2016,08,145000,029,0260,17925 ,00000 ,431 ,999,99999, , ,81415      ,4,8,12,Crawford town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,147000,079,0796,14765 ,00000 ,290 ,999,99999, , ,81130      ,4,8,12,City of Creede town,2,2,193027,0,0,0,0,0,0,0,0,0,2,2,193027,0,0,0,0,0,0,0,0,0
2016,08,149000,051,0270,18310 ,00000 ,1487 ,999,99999, , ,81224      ,4,8,12,Crested Butte town,11,11,5126546,0,0,0,0,0,0,0,0,0,11,11,5126546,0,0,0,0,0,0,0,0,0
2016,08,150000,109,0275,18420 ,00000 ,127 ,999,99999, , ,81131      ,4,8,12,Crestone town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,151000,119,0280,18530 ,00000 ,1189 ,999,17820, , ,80813      ,4,8,12,Cripple Creek,1,1,50000,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,0,0,0,0,0,0,0
2016,08,153000,075,0285,18640 ,00000 ,110 ,999,99999, , ,80726      ,4,8,12,Crook town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,155000,025,    ,99990 ,00000 ,3964 ,999,99999, , ,81063      ,4,8,12,Crowley County Unincorporated Area,3,3,500000,0,0,0,0,0,0,0,0,0,3,3,500000,0,0,0,0,0,0,0,0,0
2016,08,157000,025,0290,18750 ,00000 ,176 ,999,99999, , ,810330036  ,4,8,12,Crowley town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,159000,027,    ,99990 ,00000 ,3100 ,999,99999, , ,81252      ,4,8,12,Custer County Unincorporated Area,54,54,14707658,0,0,0,0,0,0,0,0,0,54,54,14707658,0,0,0,0,0,0,0,0,0
2016,08,161000,123,0295,19080 ,00000 ,4152 ,216,24540, , ,805140186  ,4,8,0,Dacono,127,127,31696378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,165000,005,0305,19630 ,00000 ,546 ,216,19740, , ,80105      ,4,8,11,Deer Trail town,6,6,647085,0,0,0,0,0,0,0,0,0,3,3,339089,0,0,0,0,0,0,0,0,0
2016,08,169000,029,0315,19850 ,00000 ,8915 ,999,99999, , ,81416      ,4,8,12,Delta,5,5,696116,0,0,0,0,0,0,0,0,0,5,5,696116,0,0,0,0,0,0,0,0,0
2016,08,173000,031,0320,20000 ,00000 ,600158 ,216,19740,2,1,80202      ,4,8,12,Denver,1887,1887,429730054,185,370,80173410,1,4,757100,73,5581,749425366,1887,1887,429730054,185,370,80173410,1,4,757100,73,5581,749425366
2016,08,177000,081,0332,20495 ,00000 ,339 ,999,99999, , ,816100238  ,4,8,12,Dinosaur town,2,2,140000,0,0,0,0,0,0,0,0,0,2,2,140000,0,0,0,0,0,0,0,0,0
2016,08,181000,083,0335,20770 ,00000 ,936 ,999,99999, , ,81323      ,4,8,12,Dolores town,2,2,166934,0,0,0,0,0,0,0,0,0,2,2,166934,0,0,0,0,0,0,0,0,0
2016,08,183000,035,    ,99990 ,00000 ,171031 ,216,19740,2, ,80104      ,4,8,12,Douglas County Unincorporated Area,857,857,275349086,0,0,0,0,0,0,22,453,48521282,857,857,275349086,0,0,0,0,0,0,22,453,48521282
2016,08,187000,067,0350,22035 ,00000 ,16887 ,999,99999, , ,81301      ,4,8,12,Durango,51,51,13032738,6,12,2046176,0,0,0,4,33,4734276,51,51,13032738,6,12,2046176,0,0,0,4,33,4734276
2016,08,189000,061,0355,22145 ,00000 ,609 ,999,99999, , ,81036      ,4,8,12,Eads town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,191000,037,    ,99990 ,00000 ,23240 ,999,99999, , ,81631      ,4,8,12,Eagle County Unincorporated Area,123,123,73963947,0,0,0,0,0,0,0,0,0,123,123,73963947,0,0,0,0,0,0,0,0,0
2016,08,193000,037,0360,22200 ,00000 ,6508 ,999,99999, , ,81631      ,4,8,12,Eagle town,35,35,11623642,0,0,0,0,0,0,0,0,0,35,35,11623642,0,0,0,0,0,0,0,0,0
2016,08,195000,123,0370,22860 ,00000 ,4365 ,216,24540, , ,80615      ,4,8,12,Eaton town,54,54,12974258,0,0,0,0,0,0,0,0,0,54,54,12974258,0,0,0,0,0,0,0,0,0
2016,08,197000,125,0375,23025 ,00000 ,257 ,999,99999, , ,807270217  ,4,8,12,Eckley town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,199000,059,0380,23135 ,00000 ,5170 ,216,19740, , ,80214      ,4,8,12,Edgewater,1,1,309375,0,0,0,0,0,0,0,0,0,1,1,309375,0,0,0,0,0,0,0,0,0
2016,08,201000,041,    ,99990 ,00000 ,165533 ,999,17820,2, ,80910      ,4,8,12,El Paso County Unincorporated Area,3525,3525,1432924710,4,8,832439,0,0,0,48,1500,223336916,3525,3525,1432924710,4,8,832439,0,0,0,48,1500,223336916
2016,08,203000,039,    ,99990 ,00000 ,20387 ,216,19740, , ,80117      ,4,8,12,Elbert County Unincorporated Area,119,119,29527629,0,0,0,0,0,0,0,0,0,119,119,29527629,0,0,0,0,0,0,0,0,0
2016,08,205000,039,0385,23740 ,00000 ,1358 ,216,19740, , ,80107      ,4,8,0,Elizabeth town,1,1,160430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,209000,005,0395,24785 ,00000 ,30255 ,216,19740, , ,80110      ,4,8,12,Englewood,45,45,9536753,0,0,0,0,0,0,4,212,31610949,45,45,9536753,0,0,0,0,0,0,4,212,31610949
2016,08,213000,123,0400,24950 ,00000 ,9787 ,216,24540,2, ,805160750  ,4,8,12,Erie town,434,434,116929142,0,0,0,0,0,0,0,0,0,434,434,116929142,0,0,0,0,0,0,0,0,0
2016,08,215000,069,0405,25115 ,00000 ,5858 ,999,22660, , ,80517      ,4,8,11,Estes Park town,35,35,9638257,0,0,0,0,0,0,0,0,0,34,34,9418011,0,0,0,0,0,0,0,0,0
2016,08,217000,123,0415,25280 ,00000 ,18537 ,216,24540, , ,806202036  ,4,8,11,Evans,61,61,9450767,5,10,1263177,0,0,0,0,0,0,56,56,8662074,5,10,1263177,0,0,0,0,0,0
2016,08,219000,093,0425,25610 ,00000 ,679 ,216,19740, , ,804400267  ,4,8,12,Fairplay town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,08,221000,001,0430,26270 ,00000 ,11467 ,216,19740, , ,80221      ,4,8,12,Federal Heights,37,37,7908795,0,0,0,0,0,0,0,0,0,37,37,7908795,0,0,0,0,0,0,0,0,0
2016,08,223000,123,0435,26600 ,00000 ,10147 ,216,24540, , ,80504      ,4,8,12,Firestone town,187,187,55972976,0,0,0,0,0,0,5,96,4844425,187,187,55972976,0,0,0,0,0,0,5,96,4844425
