Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2018,08,001000,001,    ,99990 ,00000 ,88292 ,216,19740, , ,80601      ,4,8,12,Adams County Unincorporated Area,286,286,67782140,1,2,240000,1,3,505966,5,150,15303568,286,286,67782140,1,2,240000,1,3,505966,5,150,15303568
2018,08,003000,071,0005,00760 ,00000 ,538 ,999,99999, , ,81020      ,4,8,0,Aguilar town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,005000,121,0010,00925 ,00000 ,1702 ,999,99999, , ,80720      ,4,8,0,Akron town,2,2,446000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,007000,003,0015,01090 ,00000 ,8780 ,999,99999, , ,81101      ,4,8,12,Alamosa,21,21,2736289,2,4,240110,1,3,193990,1,16,1388057,21,21,2736289,2,4,240110,1,3,193990,1,16,1388057
2018,08,009000,003,    ,99990 ,00000 ,6562 ,999,99999, , ,81101      ,4,8,12,Alamosa County Unincorporated Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,011000,093,0020,01530 ,00000 ,270 ,216,19740, , ,80420      ,4,8,0,Alma town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,013000,021,0025,02355 ,00000 ,781 ,999,99999, , ,81120      ,4,8,0,Antonito town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,015000,005,    ,99990 ,00000 ,83764 ,216,19740, , ,80112      ,4,8,12,Arapahoe County Unincorporated Area,281,281,82429342,0,0,0,0,0,0,0,0,0,281,281,82429342,0,0,0,0,0,0,0,0,0
2018,08,017000,007,    ,99990 ,00000 ,10357 ,999,99999, , ,81147      ,4,8,12,Archuleta County Unincorporated Area,133,133,30907000,1,2,374000,0,0,0,0,0,0,133,133,30907000,1,2,374000,0,0,0,0,0,0
2018,08,023000,059,0040,03455 ,00000 ,103584 ,216,19740,2, ,80002      ,4,8,12,Arvada,502,502,136000091,1,2,198478,1,3,214761,0,0,0,502,502,136000091,1,2,198478,1,3,214761,0,0,0
2018,08,025000,097,0045,03620 ,00000 ,6658 ,999,99999, , ,81611      ,4,8,0,Aspen,21,21,5838550,2,4,6800000,2,6,8085164,3,24,24391644,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,027000,123,0050,03950 ,00000 ,1519 ,216,24540, , ,80610      ,4,8,0,Ault town,12,12,1983772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,031000,005,0055,04000 ,00000 ,285090 ,216,19740,2,1,800121553  ,4,8,12,Aurora,1424,1424,326059923,0,0,0,14,42,8191071,29,1149,179009186,1424,1424,326059923,0,0,0,14,42,8191071,29,1149,179009186
2018,08,035000,037,0057,04110 ,00000 ,6447 ,999,99999, , ,816200975  ,4,8,12,Avon town,24,24,8159098,9,18,3102871,0,0,0,1,5,641310,24,24,8159098,9,18,3102871,0,0,0,1,5,641310
2018,08,039000,037,0060,04935 ,00000 ,2926 ,999,99999,2, ,81621      ,4,8,0,Basalt town,7,7,2517852,2,4,602884,0,0,0,2,14,5200000,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,043000,067,0065,05265 ,00000 ,2333 ,999,99999, , ,81122      ,4,8,12,Bayfield town,11,11,2555500,0,0,0,0,0,0,0,0,0,11,11,2555500,0,0,0,0,0,0,0,0,0
2018,08,045000,001,0075,06090 ,00000 ,1955 ,216,19740,2, ,801027806  ,4,8,12,Bennett town,107,107,24476874,0,0,0,2,8,1328168,0,0,0,107,107,24476874,0,0,0,2,8,1328168,0,0,0
2018,08,047000,011,    ,99990 ,00000 ,4089 ,999,99999, , ,81054      ,4,8,0,Bent County Unincorporated Area,3,3,1312395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,049000,069,0080,06255 ,00000 ,5042 ,999,22660,2, ,80513      ,4,8,12,Berthoud town,516,516,116663841,0,0,0,0,0,0,0,0,0,516,516,116663841,0,0,0,0,0,0,0,0,0
2018,08,051000,063,0085,06530 ,00000 ,237 ,999,99999, , ,80805      ,4,8,12,Bethune town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,053000,047,0090,07025 ,00000 ,118 ,216,19740, , ,80422      ,4,8,12,Black Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,055000,023,0095,07190 ,00000 ,385 ,999,99999, , ,81123      ,4,8,12,Blanca town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,057000,117,0097,07410 ,00000 ,849 ,999,99999, , ,80424      ,4,8,12,Blue River town,12,12,5354620,0,0,0,0,0,0,0,0,0,12,12,5354620,0,0,0,0,0,0,0,0,0
2018,08,063000,013,0110,07850 ,00000 ,97385 ,216,14500, ,1,803060791  ,4,8,11,Boulder,80,80,44217864,1,2,820000,4,12,2124299,21,653,89804859,74,74,41036469,1,2,820000,4,12,2124299,20,640,87049634
2018,08,065000,013,    ,99990 ,00000 ,43380 ,216,14500,2, ,80306      ,4,8,12,Boulder County Unincorporated Area,56,56,42182983,0,0,0,0,0,0,0,0,0,56,56,42182983,0,0,0,0,0,0,0,0,0
2018,08,067000,005,0115,08070 ,00000 ,589 ,216,19740,2, ,801231586  ,4,8,12,Bow Mar town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,073000,117,0125,08400 ,00000 ,4540 ,999,99999, , ,80424      ,4,8,12,Breckenridge town,52,52,47282927,0,0,0,0,0,0,2,32,4000000,52,52,47282927,0,0,0,0,0,0,2,32,4000000
2018,08,075000,001,0130,08675 ,00000 ,33009 ,216,19740,2, ,80601      ,4,8,12,Brighton,297,297,107200893,0,0,0,0,0,0,0,0,0,297,297,107200893,0,0,0,0,0,0,0,0,0
2018,08,079000,043,0140,09115 ,00000 ,233 ,999,99999, , ,81212      ,4,8,12,Brookside town,2,2,543219,0,0,0,0,0,0,0,0,0,2,2,543219,0,0,0,0,0,0,0,0,0
2018,08,083000,014,0143,09280 ,00000 ,55889 ,216,19740,2,1,80020      ,4,8,12,Broomfield,587,587,171522752,0,0,0,0,0,0,4,198,27699012,587,587,171522752,0,0,0,0,0,0,4,198,27699012
2018,08,089000,087,0150,09555 ,00000 ,5463 ,999,99999, , ,80723      ,4,8,12,Brush,2,2,263804,0,0,0,1,4,735000,0,0,0,2,2,263804,0,0,0,1,4,735000,0,0,0
2018,08,093000,063,0160,10600 ,00000 ,4254 ,999,99999, , ,80807      ,4,8,12,Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,095000,041,0165,11260 ,00000 ,780 ,999,17820, , ,808088203  ,4,8,11,Calhan town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,099000,043,0610,11810 ,00000 ,16400 ,999,99999, , ,812151460  ,4,8,12,Canon City,33,33,9145413,0,0,0,0,0,0,0,0,0,33,33,9145413,0,0,0,0,0,0,0,0,0
2018,08,101000,045,0180,12045 ,00000 ,6427 ,999,99999, , ,81623      ,4,8,12,Carbondale town,20,20,8586544,1,2,794698,0,0,0,0,0,0,20,20,8586544,1,2,794698,0,0,0,0,0,0
2018,08,102900,035,0186,12387 ,00000 ,10360 ,216,19740, , ,80108      ,4,8,12,Castle Pines,106,106,37960757,0,0,0,0,0,0,0,0,0,106,106,37960757,0,0,0,0,0,0,0,0,0
2018,08,103000,035,0188,12415 ,00000 ,48231 ,216,19740, , ,80104      ,4,8,12,Castle Rock town,1057,1057,285170870,0,0,0,0,0,0,26,442,59379594,1057,1057,285170870,0,0,0,0,0,0,26,442,59379594
2018,08,105000,029,0190,12635 ,00000 ,2253 ,999,99999, , ,81413      ,4,8,12,Cedaredge town,12,12,2540731,0,0,0,0,0,0,0,0,0,12,12,2540731,0,0,0,0,0,0,0,0,0
2018,08,106000,005,0193,12815 ,00000 ,100377 ,216,19740, , ,80112      ,4,8,12,Centennial,263,263,59819145,3,6,1116752,1,4,566080,0,0,0,263,263,59819145,3,6,1116752,1,4,566080,0,0,0
2018,08,109000,109,0195,12855 ,00000 ,2012 ,999,99999,2, ,81125      ,4,8,12,Center town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,111000,047,0200,12910 ,00000 ,663 ,216,19740,2, ,80427      ,4,8,12,Central City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,113000,015,    ,00000 ,00000 ,9219 ,999,99999, , ,81201      ,4,8,0,Chaffee County,144,144,38150302,3,6,971886,4,12,2198800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,117000,005,0210,13845 ,00000 ,5987 ,216,19740, , ,80113      ,4,8,12,Cherry Hills Village,11,11,35619217,0,0,0,0,0,0,0,0,0,11,11,35619217,0,0,0,0,0,0,0,0,0
2018,08,119000,017,    ,99990 ,00000 ,757 ,999,99999, , ,808100567  ,4,8,0,Cheyenne County Unincorporated Area,5,5,578468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,121000,017,0215,14175 ,00000 ,846 ,999,99999, , ,80810      ,4,8,12,Cheyenne Wells town,1,1,400000,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
2018,08,123000,019,    ,99990 ,00000 ,5885 ,216,19740,2, ,80444      ,4,8,11,Clear Creek County Unincorporated Area,18,18,4672049,0,0,0,0,0,0,0,0,0,17,17,4334886,0,0,0,0,0,0,0,0,0
2018,08,125000,043,0225,15330 ,00000 ,343 ,999,99999, , ,81221      ,4,8,0,Coal Creek town,1,1,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,08,133000,005,0244,16385 ,00000 ,1256 ,216,19740, , ,80123      ,4,8,12,Columbine Valley town,8,8,6414530,0,0,0,0,0,0,0,0,0,8,8,6414530,0,0,0,0,0,0,0,0,0
2018,08,135000,001,0245,16495 ,00000 ,45913 ,216,19740, , ,80022      ,4,8,12,Commerce City,719,719,186214432,3,6,1355015,1,4,678781,4,30,5178498,719,719,186214432,3,6,1355015,1,4,678781,4,30,5178498
2018,08,137000,021,    ,99990 ,00000 ,4383 ,999,99999, , ,81129      ,4,8,12,Conejos County Unincorporated Area,21,21,8320000,0,0,0,0,0,0,0,0,0,21,21,8320000,0,0,0,0,0,0,0,0,0
