Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2023,08,001,4,8,Adams County                  ,1863,1863,569686691,19,38,10341362,0,0,0,36,916,168072922,1863,1863,569686691,19,38,10341362,0,0,0,36,916,168072922
2023,08,003,4,8,Alamosa County                ,61,61,11146364,3,6,899246,0,0,0,0,0,0,29,29,5410357,3,6,899246,0,0,0,0,0,0
2023,08,005,4,8,Arapahoe County               ,2293,2293,603525235,0,0,0,4,16,3135886,91,3170,605931275,2171,2171,569753225,0,0,0,4,16,3135886,88,3146,602665442
2023,08,007,4,8,Archuleta County              ,128,128,36115546,0,0,0,0,0,0,0,0,0,99,99,30999000,0,0,0,0,0,0,0,0,0
2023,08,009,4,8,Baca County                   ,3,3,260000,0,0,0,0,0,0,0,0,0,3,3,260000,0,0,0,0,0,0,0,0,0
2023,08,011,4,8,Bent County                   ,3,3,428000,0,0,0,0,0,0,0,0,0,3,3,428000,0,0,0,0,0,0,0,0,0
2023,08,013,4,8,Boulder County                ,791,791,498949041,8,16,3849493,14,48,11189752,49,787,158132843,754,754,463125592,5,10,2851594,12,42,9559384,36,568,99382676
2023,08,014,4,8,Broomfield County             ,119,119,34982651,0,0,0,11,39,9221965,52,1119,220883978,119,119,34982651,0,0,0,11,39,9221965,52,1119,220883978
2023,08,015,4,8,Chaffee County                ,283,283,99993770,1,2,703399,0,0,0,0,0,0,283,283,99993770,1,2,703399,0,0,0,0,0,0
2023,08,017,4,8,Cheyenne County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,08,019,4,8,Clear Creek County            ,21,21,7109002,2,4,924000,0,0,0,0,0,0,21,21,7109002,2,4,924000,0,0,0,0,0,0
2023,08,021,4,8,Conejos County                ,38,38,14336066,0,0,0,0,0,0,0,0,0,38,38,14336066,0,0,0,0,0,0,0,0,0
