Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2024,08,001,4,8,Adams County                  ,2028,2028,751075873,0,0,0,0,0,0,14,343,54861537,2010,2010,745981539,0,0,0,0,0,0,9,234,38064870
2024,08,003,4,8,Alamosa County                ,39,39,7396919,6,12,1842965,0,0,0,0,0,0,4,4,1135605,6,12,1842965,0,0,0,0,0,0
2024,08,005,4,8,Arapahoe County               ,2362,2362,600779722,1,2,500000,11,43,6070391,36,1449,228236694,2229,2229,568081982,1,2,500000,11,43,6070391,34,1410,222227202
2024,08,007,4,8,Archuleta County              ,139,139,39979608,1,2,487000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,009,4,8,Baca County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,011,4,8,Bent County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,013,4,8,Boulder County                ,441,441,262821595,18,36,8157230,17,67,13709351,35,1136,250705043,432,432,260288284,15,30,7159331,17,67,13709351,35,1136,250705043
2024,08,014,4,8,Broomfield County             ,57,57,25645883,0,0,0,4,13,3608172,20,335,47821740,57,57,25645883,0,0,0,4,13,3608172,20,335,47821740
2024,08,015,4,8,Chaffee County                ,274,274,95624943,3,6,1383591,3,9,2282632,0,0,0,274,274,95624943,3,6,1383591,3,9,2282632,0,0,0
2024,08,017,4,8,Cheyenne County               ,7,7,2104938,0,0,0,0,0,0,0,0,0,7,7,2104938,0,0,0,0,0,0,0,0,0
2024,08,019,4,8,Clear Creek County            ,19,19,10071857,0,0,0,0,0,0,0,0,0,19,19,10071857,0,0,0,0,0,0,0,0,0
2024,08,021,4,8,Conejos County                ,18,18,6959749,0,0,0,0,0,0,0,0,0,18,18,6959749,0,0,0,0,0,0,0,0,0
2024,08,023,4,8,Costilla County               ,145,145,60353975,0,0,0,0,0,0,0,0,0,145,145,60353975,0,0,0,0,0,0,0,0,0
2024,08,025,4,8,Crowley County                ,4,4,1348344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,027,4,8,Custer County                 ,111,111,36183327,3,6,887700,0,0,0,0,0,0,11,11,4499000,3,6,887700,0,0,0,0,0,0
2024,08,029,4,8,Delta County                  ,63,63,12924449,1,2,480000,0,0,0,2,50,12000000,32,32,7653095,1,2,480000,0,0,0,2,50,12000000
