Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2019,08,001000,001,    ,99990 ,00000 ,88292 ,216,19740, , ,80601      ,4,8,12,Adams County Unincorporated Area,290,290,64674057,2,4,100000,1,3,499711,0,0,0,290,290,64674057,2,4,100000,1,3,499711,0,0,0
2019,08,003000,071,0005,00760 ,00000 ,538 ,999,99999, , ,81020      ,4,8,0,Aguilar town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,08,005000,121,0010,00925 ,00000 ,1702 ,999,99999, , ,80720      ,4,8,12,Akron town,2,2,495885,0,0,0,0,0,0,0,0,0,2,2,495885,0,0,0,0,0,0,0,0,0
2019,08,007000,003,0015,01090 ,00000 ,8780 ,999,99999, , ,81101      ,4,8,12,Alamosa,18,18,3776043,5,10,2192955,0,0,0,0,0,0,18,18,3776043,5,10,2192955,0,0,0,0,0,0
2019,08,009000,003,    ,99990 ,00000 ,6562 ,999,99999, , ,81101      ,4,8,12,Alamosa County Unincorporated Area,24,24,4809328,0,0,0,0,0,0,0,0,0,24,24,4809328,0,0,0,0,0,0,0,0,0
2019,08,011000,093,0020,01530 ,00000 ,270 ,216,19740, , ,80420      ,4,8,12,Alma town,1,1,277935,0,0,0,0,0,0,0,0,0,1,1,277935,0,0,0,0,0,0,0,0,0
2019,08,013000,021,0025,02355 ,00000 ,781 ,999,99999, , ,81120      ,4,8,0,Antonito town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,08,015000,005,    ,99990 ,00000 ,83764 ,216,19740, , ,80112      ,4,8,12,Arapahoe County Unincorporated Area,504,504,146870880,0,0,0,0,0,0,3,218,28385710,504,504,146870880,0,0,0,0,0,0,3,218,28385710
2019,08,017000,007,    ,99990 ,00000 ,10357 ,999,99999, , ,81147      ,4,8,12,Archuleta County Unincorporated Area,141,141,32010000,0,0,0,0,0,0,0,0,0,141,141,32010000,0,0,0,0,0,0,0,0,0
2019,08,023000,059,0040,03455 ,00000 ,103584 ,216,19740,2, ,80002      ,4,8,12,Arvada,294,294,80483414,0,0,0,0,0,0,0,0,0,294,294,80483414,0,0,0,0,0,0,0,0,0
2019,08,025000,097,0045,03620 ,00000 ,6658 ,999,99999, , ,81611      ,4,8,0,Aspen,7,7,30477420,0,0,0,0,0,0,1,12,4294282,0,0,0,0,0,0,0,0,0,0,0,0
2019,08,027000,123,0050,03950 ,00000 ,1519 ,216,24540, , ,80610      ,4,8,12,Ault town,55,55,11071773,0,0,0,0,0,0,0,0,0,55,55,11071773,0,0,0,0,0,0,0,0,0
2019,08,031000,005,0055,04000 ,00000 ,285090 ,216,19740,2,1,800121553  ,4,8,12,Aurora,1523,1523,408835911,0,0,0,8,25,5336326,11,780,134178745,1523,1523,408835911,0,0,0,8,25,5336326,11,780,134178745
2019,08,035000,037,0057,04110 ,00000 ,6447 ,999,99999, , ,816200975  ,4,8,12,Avon town,0,0,0,12,24,8503554,0,0,0,9,266,59861349,0,0,0,12,24,8503554,0,0,0,9,266,59861349
2019,08,039000,037,0060,04935 ,00000 ,2926 ,999,99999,2, ,81621      ,4,8,0,Basalt town,7,7,2517852,1,2,301442,0,0,0,1,15,5571428,0,0,0,0,0,0,0,0,0,0,0,0
