Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2022,08,001,4,8,Adams County                  ,2046,2046,667261699,66,132,23324581,0,0,0,22,633,106007049,2046,2046,667261699,66,132,23324581,0,0,0,22,633,106007049
2022,08,003,4,8,Alamosa County                ,53,53,10318189,2,4,656276,0,0,0,4,45,2600000,53,53,10318189,2,4,656276,0,0,0,4,45,2600000
2022,08,005,4,8,Arapahoe County               ,1770,1770,505047546,2,4,1468517,0,0,0,35,2551,434365731,1709,1709,494136534,2,4,1468517,0,0,0,35,2551,434365731
2022,08,007,4,8,Archuleta County              ,162,162,49345003,1,2,487000,0,0,0,0,0,0,162,162,49345003,1,2,487000,0,0,0,0,0,0
2022,08,009,4,8,Baca County                   ,4,4,840290,11,22,3984300,0,0,0,0,0,0,4,4,840290,11,22,3984300,0,0,0,0,0,0
2022,08,011,4,8,Bent County                   ,21,21,3856665,4,8,800000,0,0,0,0,0,0,21,21,3856665,4,8,800000,0,0,0,0,0,0
2022,08,013,4,8,Boulder County                ,661,661,376592155,13,26,10248842,23,76,31986733,52,879,187503020,626,626,337909334,12,24,9126446,21,70,30431180,37,618,119436574
2022,08,014,4,8,Broomfield County             ,179,179,79038769,23,46,14817687,28,103,26337701,19,210,48833207,179,179,79038769,23,46,14817687,28,103,26337701,19,210,48833207
2022,08,015,4,8,Chaffee County                ,273,273,81423695,0,0,0,1,4,642268,0,0,0,273,273,81423695,0,0,0,1,4,642268,0,0,0
2022,08,017,4,8,Cheyenne County               ,11,11,1304511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,08,019,4,8,Clear Creek County            ,16,16,7963246,2,4,924000,0,0,0,0,0,0,16,16,7963246,2,4,924000,0,0,0,0,0,0
2022,08,021,4,8,Conejos County                ,40,40,13335613,0,0,0,0,0,0,0,0,0,40,40,13335613,0,0,0,0,0,0,0,0,0
2022,08,023,4,8,Costilla County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,08,025,4,8,Crowley County                ,17,17,5730462,6,12,2221788,0,0,0,1,16,1200000,17,17,5730462,6,12,2221788,0,0,0,0,0,0
2022,08,027,4,8,Custer County                 ,130,130,41082016,0,0,0,0,0,0,0,0,0,130,130,41082016,0,0,0,0,0,0,0,0,0
2022,08,029,4,8,Delta County                  ,60,60,10514268,0,0,0,0,0,0,0,0,0,53,53,9278360,0,0,0,0,0,0,0,0,0
2022,08,031,4,8,Denver County                 ,1323,1323,373243160,0,0,0,5,15,2071625,84,6958,997343550,1323,1323,373243160,0,0,0,5,15,2071625,84,6958,997343550
2022,08,033,4,8,Dolores County                ,2,2,674172,0,0,0,0,0,0,0,0,0,2,2,674172,0,0,0,0,0,0,0,0,0
2022,08,035,4,8,Douglas County                ,3210,3210,948512856,88,176,32194519,2,8,307178,48,906,103085010,3210,3210,948512856,88,176,32194519,2,8,307178,48,906,103085010
2022,08,037,4,8,Eagle County                  ,100,100,104880993,0,0,0,0,0,0,7,168,339298669,90,90,101284063,0,0,0,0,0,0,4,153,333727240
2022,08,039,4,8,Elbert County                 ,252,252,86155284,0,0,0,0,0,0,2,32,3243800,252,252,86155284,0,0,0,0,0,0,2,32,3243800
2022,08,041,4,8,El Paso County                ,3501,3501,1359597888,117,234,24209594,2,8,871718,128,4942,762756016,3501,3501,1359597888,117,234,24209594,2,8,871718,128,4942,762756016
2022,08,043,4,8,Fremont County                ,180,180,42518298,0,0,0,1,4,862308,1,6,297500,172,172,41487765,0,0,0,1,4,862308,1,6,297500
2022,08,045,4,8,Garfield County               ,195,195,57961557,5,10,3616190,5,18,3924864,2,17,1840000,195,195,57961557,5,10,3616190,5,18,3924864,2,17,1840000
2022,08,047,4,8,Gilpin County                 ,36,36,26091760,0,0,0,0,0,0,0,0,0,36,36,26091760,0,0,0,0,0,0,0,0,0
2022,08,049,4,8,Grand County                  ,282,282,110507611,0,0,0,2,6,1068530,15,87,12721829,282,282,110507611,0,0,0,2,6,1068530,15,87,12721829
2022,08,051,4,8,Gunnison County               ,132,132,134593818,2,4,1141943,1,4,1170928,2,10,2179084,132,132,134593818,2,4,1141943,1,4,1170928,2,10,2179084
2022,08,053,4,8,Hinsdale County               ,15,15,6321375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,08,055,4,8,Huerfano County               ,57,57,10628120,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
2022,08,057,4,8,Jackson County                ,4,4,1348344,0,0,0,0,0,0,0,0,0,4,4,1348344,0,0,0,0,0,0,0,0,0
2022,08,059,4,8,Jefferson County              ,1074,1074,366677872,5,10,2484085,19,70,13935451,30,1052,190025797,946,946,334702575,4,8,2041685,19,70,13935451,18,752,140223979
2022,08,061,4,8,Kiowa County                  ,6,6,1023600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,08,063,4,8,Kit Carson County             ,1,1,337086,0,0,0,0,0,0,0,0,0,1,1,337086,0,0,0,0,0,0,0,0,0
2022,08,065,4,8,Lake County                   ,61,61,13031492,0,0,0,1,3,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,08,067,4,8,La Plata County               ,320,320,163469635,4,8,1554732,0,0,0,12,61,2108147,221,221,148622818,0,0,0,0,0,0,0,0,0
2022,08,069,4,8,Larimer County                ,1385,1385,501361901,20,40,10586350,12,41,12013739,55,1106,196172482,1385,1385,501361901,20,40,10586350,12,41,12013739,55,1106,196172482
2022,08,071,4,8,Las Animas County             ,44,44,7608064,0,0,0,0,0,0,0,0,0,6,6,2138930,0,0,0,0,0,0,0,0,0
2022,08,073,4,8,Lincoln County                ,10,10,1460112,0,0,0,0,0,0,0,0,0,4,4,972612,0,0,0,0,0,0,0,0,0
2022,08,075,4,8,Logan County                  ,20,20,4886026,1,2,380000,0,0,0,0,0,0,20,20,4886026,1,2,380000,0,0,0,0,0,0
2022,08,077,4,8,Mesa County                   ,668,668,159123068,4,8,853199,0,0,0,11,293,25079328,668,668,159123068,4,8,853199,0,0,0,11,293,25079328
2022,08,079,4,8,Mineral County                ,9,9,3792063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,08,081,4,8,Moffat County                 ,20,20,5191440,0,0,0,0,0,0,0,0,0,20,20,5191440,0,0,0,0,0,0,0,0,0
2022,08,083,4,8,Montezuma County              ,24,24,5920683,0,0,0,0,0,0,0,0,0,5,5,1154800,0,0,0,0,0,0,0,0,0
2022,08,085,4,8,Montrose County               ,338,338,53533394,4,8,994130,0,0,0,4,59,9257302,338,338,53533394,4,8,994130,0,0,0,4,59,9257302
2022,08,087,4,8,Morgan County                 ,77,77,22696303,1,2,224341,13,49,5235750,0,0,0,74,74,22300597,1,2,224341,11,43,4133250,0,0,0
2022,08,089,4,8,Otero County                  ,3,3,1100000,0,0,0,0,0,0,1,30,4138449,3,3,1100000,0,0,0,0,0,0,1,30,4138449
2022,08,091,4,8,Ouray County                  ,62,62,22899999,3,6,2511300,0,0,0,1,6,3000000,62,62,22899999,3,6,2511300,0,0,0,1,6,3000000
2022,08,093,4,8,Park County                   ,193,193,60229285,0,0,0,0,0,0,0,0,0,193,193,60229285,0,0,0,0,0,0,0,0,0
2022,08,095,4,8,Phillips County               ,10,10,3044300,0,0,0,0,0,0,0,0,0,10,10,3044300,0,0,0,0,0,0,0,0,0
2022,08,097,4,8,Pitkin County                 ,48,48,215537910,1,2,7783020,0,0,0,1,49,72900000,48,48,215537910,1,2,7783020,0,0,0,1,49,72900000
2022,08,099,4,8,Prowers County                ,9,9,1917758,3,6,2000000,0,0,0,0,0,0,9,9,1917758,3,6,2000000,0,0,0,0,0,0
2022,08,101,4,8,Pueblo County                 ,497,497,81793594,0,0,0,0,0,0,0,0,0,497,497,81793594,0,0,0,0,0,0,0,0,0
